idx,avgs
:50,0.8088499510910677
:100,1.552327079356533
:150,1.7703571444702604
:200,1.703464096243596
:250,1.6170786719388406
:300,1.6100848828576446
:350,1.5242978078276688
:400,1.5290005014038701
:450,1.5074666389990847
:500,1.835444195404261
:550,1.7464412617665253
:600,1.5110656691199893
:650,1.580625919183036
:700,1.657031441610032
:750,1.5324052173584206
:800,1.610632747571534
:850,1.65017486414212
:900,1.7016772619242369
:950,1.4673533393069262
:1000,1.715569987875746
:1050,1.0952642600844331
:1100,1.2568226601805428
:1150,1.1510831650236728
:1200,0.8047051322172823
:1250,1.2547405047166382
:1300,1.086743375646001
:1350,1.02300579327114
